auction_id;item_id;seller_login;seller_role;current_highest_bid;auction_status;winner_login;winner_role
0;925;thorny-resolution;Seller;2529;Closed;lanky-screw;Buyer
1;5248;handsome-city;Seller;4934;Active;;
2;5120;weighty-shame;Seller;2785;Closed;worried-book;Buyer
3;5865;sick-quarter;Seller;1919;Active;;
4;3862;spotless-charge;Seller;4095;Closed;impossible-police;Buyer
5;1273;questionable-sympathy;Seller;2091;Closed;punctual-drawer;Buyer
6;2923;absolute-craft;Seller;3033;Closed;early-highlight;Buyer
7;4015;gleeful-customer;Seller;2898;Closed;Spanish-tooth;Buyer
8;2576;feminine-writing;Seller;1474;Active;;
9;434;punctual-swimming;Seller;3618;Closed;each-internet;Buyer
10;4068;bare-round;Seller;1583;Closed;kindly-language;Buyer
11;219;itchy-angle;Seller;3684;Closed;skinny-wing;Buyer
12;3361;fair-buddy;Seller;1571;Closed;repulsive-gene;Buyer
13;1072;spectacular-diamond;Seller;2508;Closed;cruel-life;Buyer
14;5736;costly-scene;Seller;4725;Active;;
15;3191;serene-monitor;Seller;1926;Closed;grotesque-clothes;Buyer
16;3393;false-news;Seller;2504;Closed;glistening-discount;Buyer
17;85;tempting-education;Seller;1542;Closed;practical-character;Buyer
18;697;energetic-shot;Seller;2602;Active;;
19;4881;meager-shopping;Seller;4627;Closed;complicated-efficiency;Buyer
20;5908;angelic-thought;Seller;7990;Closed;costly-produce;Buyer
21;766;steel-mail;Seller;3915;Closed;dear-hide;Buyer
22;3078;forceful-coach;Seller;2612;Active;;
23;5322;paltry-surgery;Seller;2887;Closed;celebrated-method;Buyer
24;1699;cool-formal;Seller;3047;Closed;married-unique;Buyer
25;495;rash-board;Seller;3569;Active;;
26;611;feminine-writing;Seller;3230;Closed;chief-edge;Buyer
27;1287;thorny-resolution;Seller;2376;Closed;animated-wife;Buyer
28;5009;burdensome-special;Seller;2332;Closed;good-inflation;Buyer
29;3902;common-private;Seller;1585;Closed;complicated-substance;Buyer
30;2336;jaded-car;Seller;3574;Closed;electric-drawer;Buyer
31;1125;favorite-movie;Seller;3291;Closed;wiggly-role;Buyer
32;4210;embellished-repeat;Seller;134;Active;;
33;165;lighthearted-remote;Seller;5115;Closed;gregarious-exit;Buyer
34;2332;sick-quarter;Seller;1200;Closed;starry-mobile;Buyer
35;2422;silver-steal;Seller;2499;Active;;
36;304;yearly-society;Seller;2723;Closed;corny-television;Buyer
37;2643;fine-suck;Seller;2407;Closed;euphoric-meeting;Buyer
38;978;judicious-turn;Seller;2256;Active;;
39;1872;disguised-wonder;Seller;3177;Closed;superficial-sick;Buyer
40;5463;focused-song;Seller;2703;Closed;attractive-kid;Buyer
41;2629;fine-suck;Seller;670;Closed;euphoric-meeting;Buyer
42;3685;cool-formal;Seller;3968;Closed;sympathetic-letter;Buyer
43;4644;thorny-resolution;Seller;1822;Closed;amusing-while;Buyer
44;1543;necessary-national;Seller;2869;Closed;perfect-sun;Buyer
45;4512;every-discipline;Seller;4267;Closed;oblong-method;Buyer
46;782;ripe-patience;Seller;2059;Active;;
47;3404;anguished-order;Seller;2304;Closed;serious-hate;Buyer
48;1789;doting-bell;Seller;2526;Closed;inferior-dream;Buyer
49;4420;absolute-craft;Seller;2245;Closed;gleeful-run;Buyer
50;3758;snappy-wine;Seller;1526;Closed;flawed-total;Buyer
51;1221;demanding-farmer;Seller;5422;Closed;steep-swim;Buyer
52;3145;phony-idea;Seller;1698;Active;;
53;4668;ripe-patience;Seller;4332;Closed;mushy-master;Buyer
54;1984;superficial-extreme;Seller;967;Closed;impeccable-comfortable;Buyer
55;5318;lawful-interaction;Seller;3112;Closed;jumbo-friend;Buyer
56;25;threadbare-character;Seller;12;Closed;limp-dress;Buyer
57;2463;threadbare-character;Seller;1918;Closed;woozy-sign;Buyer
58;1942;superb-pull;Seller;3957;Closed;mundane-song;Buyer
59;1438;expensive-funeral;Seller;4039;Closed;whispered-screw;Buyer
60;3013;silver-steal;Seller;4020;Closed;normal-opening;Buyer
61;3110;productive-advice;Seller;4364;Closed;winding-kid;Buyer
62;4123;costly-tackle;Seller;2723;Closed;wicked-theory;Buyer
63;2631;demanding-farmer;Seller;3281;Closed;corrupt-satisfaction;Buyer
64;4657;mean-politics;Seller;2081;Closed;late-income;Buyer
65;4951;mindless-button;Seller;2474;Closed;vigilant-company;Buyer
66;4369;burdensome-special;Seller;4766;Closed;mushy-thing;Buyer
67;3513;past-touch;Seller;2239;Active;;
68;2661;ultimate-coach;Seller;3758;Closed;modern-desk;Buyer
69;4508;mysterious-court;Seller;1360;Closed;upset-drag;Buyer
70;5869;frivolous-nation;Seller;2052;Closed;humiliating-stop;Buyer
71;5861;disguised-wonder;Seller;504;Active;;
72;3435;heavenly-deposit;Seller;1839;Closed;stunning-maybe;Buyer
73;5533;melodic-chocolate;Seller;5278;Closed;scrawny-clerk;Buyer
74;347;energetic-shot;Seller;1885;Closed;married-unique;Buyer
75;1780;icky-hearing;Seller;905;Closed;somber-medium;Buyer
76;1620;gracious-nation;Seller;1779;Closed;excellent-consist;Buyer
77;4857;considerate-conference;Seller;1858;Closed;royal-step;Buyer
78;3671;loyal-apple;Seller;2288;Closed;helpless-hello;Buyer
79;4028;costly-tackle;Seller;870;Active;;
80;4640;everlasting-historian;Seller;2978;Closed;sweaty-purchase;Buyer
81;2471;extraneous-stick;Seller;7980;Closed;appropriate-difficulty;Buyer
82;166;muffled-pause;Seller;5641;Closed;fragrant-border;Buyer
83;5943;burdensome-special;Seller;5283;Closed;whispered-husband;Buyer
84;1442;tempting-education;Seller;4322;Active;;
