bid_id;auction_id;buyer_login;buyer_role;bid_amount;bid_timestamp
0;2022;ill-fated-land;Buyer;713;2021-12-28 17:07:15
1;3036;bubbly-convert;Buyer;375;2020-03-26 06:35:21
2;1728;astonishing-poem;Buyer;957;2020-09-15 09:22:41
3;862;forceful-city;Buyer;977;2020-10-08 14:48:10
4;741;bare-client;Buyer;802;2022-01-14 03:03:06
5;2891;opulent-address;Buyer;927;2020-01-23 12:12:44
6;3862;noisy-increase;Buyer;548;2025-03-11 23:06:45
7;338;icy-human;Buyer;366;2022-01-25 13:24:48
8;1464;honest-permission;Buyer;694;2023-06-20 22:28:42
9;895;treasured-familiar;Buyer;496;2021-08-13 13:27:11
10;1478;incomparable-option;Buyer;306;2022-12-25 19:25:26
11;782;sick-money;Buyer;544;2023-06-08 06:30:17
12;2181;modest-bottom;Buyer;375;2022-11-10 00:46:34
13;1451;jumpy-count;Buyer;986;2024-10-26 19:43:52
14;846;overjoyed-glove;Buyer;814;2021-12-03 07:36:22
15;3839;acclaimed-resolution;Buyer;886;2020-10-14 21:02:18
16;867;dreary-basis;Buyer;1000;2023-11-23 05:05:04
17;688;ugly-vast;Buyer;589;2024-12-17 23:56:19
18;420;demanding-style;Buyer;398;2022-05-06 18:41:47
19;351;upset-black;Buyer;472;2022-03-12 19:35:31
20;217;spherical-yesterday;Buyer;87;2022-02-08 16:45:48
21;238;corny-television;Buyer;913;2023-12-12 14:33:55
22;4113;pointed-delivery;Buyer;156;2021-01-20 00:08:55
23;1985;astonishing-poem;Buyer;566;2023-05-15 04:02:46
24;855;phony-wood;Buyer;615;2020-09-27 06:21:03
25;2335;equatorial-welcome;Buyer;979;2024-10-21 09:40:56
26;1720;jovial-few;Buyer;525;2023-07-21 18:04:33
27;626;smug-bitter;Buyer;450;2021-03-17 01:02:28
28;3828;previous-context;Buyer;307;2021-11-16 20:03:11
29;3586;slippery-system;Buyer;790;2025-05-26 13:22:23
30;1890;impolite-complaint;Buyer;548;2023-05-10 21:11:56
31;3430;Spanish-tooth;Buyer;424;2024-01-13 08:41:41
32;1283;spiteful-animal;Buyer;427;2025-03-15 06:05:44
33;3626;open-wash;Buyer;423;2023-05-10 05:04:05
34;1713;grown-priest;Buyer;198;2020-11-18 02:21:45
35;962;imperturbable-paper;Buyer;482;2020-06-02 02:36:04
36;529;instructive-skin;Buyer;238;2024-10-27 10:11:36
37;37;woozy-sign;Buyer;703;2025-04-08 03:14:44
38;339;mild-grandfather;Buyer;654;2024-11-12 15:17:05
39;3041;jagged-rice;Buyer;182;2020-05-04 02:22:53
40;1117;troubled-throat;Buyer;927;2023-12-27 22:05:01
41;1059;remarkable-invite;Buyer;716;2021-02-14 15:03:57
42;2336;positive-phase;Buyer;650;2021-02-06 23:26:59
43;1204;flaky-celebration;Buyer;571;2021-02-20 13:12:34
44;437;mundane-song;Buyer;1038;2024-12-11 02:02:15
45;2357;ironclad-dish;Buyer;769;2024-07-30 08:52:54
46;2205;demanding-affair;Buyer;320;2023-10-29 06:47:05
47;2160;dry-garbage;Buyer;248;2022-05-14 04:29:35
48;1015;serious-hate;Buyer;365;2024-07-08 05:11:55
49;3165;suburban-aside;Buyer;220;2022-09-12 12:42:05
50;1231;drafty-sir;Buyer;844;2021-04-11 16:22:19
51;677;homely-respond;Buyer;812;2023-12-26 11:42:16
52;124;gaseous-sense;Buyer;985;2021-03-16 00:35:27
53;1964;composed-baby;Buyer;771;2020-07-24 10:57:10
54;643;creamy-homework;Buyer;693;2021-05-24 12:01:23
55;105;muffled-psychology;Buyer;315;2021-07-11 04:46:07
56;3924;tall-ticket;Buyer;307;2021-11-09 06:59:49
57;451;mushy-master;Buyer;428;2023-08-09 22:52:23
58;3376;decisive-usual;Buyer;871;2022-02-23 03:03:44
59;2315;honest-context;Buyer;410;2024-04-20 01:46:59
60;3182;short-term-player;Buyer;239;2023-07-10 17:25:35
61;891;adored-perspective;Buyer;1078;2022-08-07 20:48:05
62;3812;humiliating-stop;Buyer;1007;2021-11-01 20:47:29
63;512;stylish-rip;Buyer;981;2022-03-07 16:48:53
